# Time (s)
0.007479
# Mem(KB) tseries,means,norms,df,dg,profile,profileIndex,Total(MB)
0.39,0.37,0.37,0.37,0.37,0.37,0.37,0.00
# Profile Length
47
# i,tseries,profile,index
0,-1.15009999999999990,0.33743444296714775,33
1,-1.15369999999999995,0.16214061340674185,11
2,-1.15769999999999995,0.91490491565501619,14
3,-1.10359999999999991,0.83739761544532010,36
4,-1.13789999999999991,0.36821713032225573,18
5,-1.15559999999999996,0.47136415144489252,24
6,-1.11820000000000008,0.51501546659652242,21
7,-1.04459999999999997,0.29156836052564999,13
8,-1.07590000000000008,0.31149374057599910,45
9,-1.04370000000000007,0.59714006054741853,35
10,-1.08699999999999997,0.37588650342250773,36
11,-1.28810000000000002,0.16214061340674185,1
12,-1.29360000000000008,0.54410776938109484,6
13,-1.24910000000000010,0.29156836052564999,7
14,-1.27919999999999989,0.91490491565501619,2
15,-1.24429999999999996,0.96860393717484117,46
16,-1.28340000000000010,0.29385356862996015,37
17,-1.29990000000000006,0.27100252027506594,38
18,-1.21680000000000010,0.27979973397557839,39
19,-1.21209999999999996,0.09010746478346394,39
20,-1.18379999999999996,0.42935803301008207,1
21,-1.09820000000000007,0.51501546659652242,6
22,-0.54498999999999997,1.47046912976149446,15
23,-0.87970000000000004,0.24450321698108157,28
24,-0.67108999999999996,0.24903597084744386,29
25,-0.51644999999999996,0.27856296264449731,17
26,-0.24421999999999999,0.32958538162622630,42
27,-0.26008999999999999,0.29856178888448065,23
28,-0.19708999999999999,0.24450321698108157,23
29,-0.13583000000000001,0.24903597084744386,24
30,-0.08462799999999999,0.38508859162053483,28
31,0.04246100000000000,0.10429049900726803,37
32,0.05598800000000000,0.15966112931552887,41
33,0.35402000000000000,0.26651628422774443,39
34,0.38386999999999999,0.51844460197896136,45
35,0.36862000000000000,0.59714006054741853,9
36,0.70564000000000004,0.37588650342250773,10
37,-0.89215000000000000,0.10429049900726803,31
38,-0.90398000000000001,0.27100252027506594,17
39,-0.28478999999999999,0.09010746478346394,19
40,-0.19500999999999999,0.15052048041955993,31
41,-0.10863000000000000,0.15966112931552887,32
42,0.73107999999999995,0.32958538162622630,26
43,0.73301000000000005,0.30111699535265130,24
44,0.75353000000000003,0.24039765518312947,41
45,0.77298999999999995,0.31149374057599910,8
46,0.77212000000000003,0.36112557675555068,0
